dataset_name,super_category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
Complex Indian Context Prompts (CIP),Cultural aspects,1.0,1.0,1.0,1.0
Complex Indian Context Prompts (CIP),Regional aspects,5.0,3.0,5.0,3.0
Complex Indian Context Prompts (CIP),Social aspects,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333
Detailed Indian Prompts (DIP),Cultural aspects,2.205020920502092,2.196652719665272,2.280334728033473,2.2301255230125525
Detailed Indian Prompts (DIP),Regional aspects,2.719298245614035,2.719298245614035,2.8421052631578947,2.6842105263157894
Detailed Indian Prompts (DIP),Social aspects,2.3295454545454546,2.3295454545454546,2.352272727272727,2.1818181818181817
Short Simple Prompts (SSP),Cultural aspects,2.845272206303725,2.650429799426934,2.845272206303725,1.5329512893982808
Short Simple Prompts (SSP),Regional aspects,3.140625,2.953125,3.125,1.359375
Short Simple Prompts (SSP),Social aspects,2.8333333333333335,2.5555555555555554,2.7888888888888888,1.7444444444444445
