model_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Attire, Region",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Caste Discrimination,,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Caste, Dance, Religion",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Dance",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Gender",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Marriage",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Oral Tradition",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Region",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Religion",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Daily Life & Social Context,0.7559289460184545,0.7559289460184545,0.7559289460184545,0.7559289460184545
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Diversity & Inclusion,0.0,0.0,0.0,0.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Education, Rural",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Education, Youth & Women",0.0,0.0,0.0,0.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Festival, Attire",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Festival, Food",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Folk Dance, Culture",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Food, Religion",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Handicraft, Culture",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"History, Education",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Inclusion, Education",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Indian Festivals & Rituals,0.0,0.0,0.0,0.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"LGBTQ+, Tradition",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Labor, Northeast",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Music, Gender",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Northeast, Economy",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Occupation, Faith",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Occupations & Aspirations,0.0,0.0,0.0,0.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Pop Culture, Rural",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Protest, Religion",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Region, Childhood",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Regional Diversity,1.1547005383792517,1.1547005383792517,2.3094010767585034,2.3094010767585034
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Religion,,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Religion & Spirituality,2.8284271247461903,1.4142135623730951,2.8284271247461903,2.8284271247461903
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Culture",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Discipline",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Economy",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Education",0.0,0.0,0.0,2.8284271247461903
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Plurality",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Region",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Syncretism",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Theatre",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Ritual, Folk Dance",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Rural, Labor",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Rural, Water Crisis",0.0,0.0,0.0,0.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Signs, Language & Scripts",1.9148542155126762,1.9148542155126762,1.9148542155126762,2.309401076758503
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Sports, Childhood",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Sports, Region",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tourism, Art",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tradition, Festival",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tradition, Knowledge",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tradition, Region",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tribal, Nature",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tribal, Tradition",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Urban Poverty, Religion",,,,
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Water Crisis,,,,
Stable Diffusion 3.5 Large,Daily Life & Social Context,1.9223002094465098,1.5491933384829666,1.7674302033770737,1.4074631010979934
Stable Diffusion 3.5 Large,"Education, Youth & Women",1.7888543819998317,1.7888543819998317,1.7888543819998317,1.7888543819998317
Stable Diffusion 3.5 Large,Indian Festivals & Rituals,1.7413380098407456,1.605183136974036,1.605183136974036,1.3304740847993173
Stable Diffusion 3.5 Large,Occupations & Aspirations,1.5021352323976216,1.5021352323976216,1.5021352323976216,1.5021352323976216
Stable Diffusion 3.5 Large,Regional Diversity,1.2744954391203698,1.372442306109034,1.3877773329774217,1.2577800213115893
Stable Diffusion 3.5 Large,Religion & Spirituality,1.5021352323976216,1.395964880904226,1.4945294355141465,1.1297580609817643
flux1-dev,"Arts, Music & Pop Culture",1.1547005383792515,1.1547005383792515,1.632993161855452,2.309401076758503
flux1-dev,"Caste, Dance, Religion",,,,
flux1-dev,"Caste, Tradition",,,,
flux1-dev,"Culture, Attire",0.0,0.0,0.0,0.0
flux1-dev,"Culture, Religion",0.0,0.0,0.0,0.0
flux1-dev,Daily Life & Social Context,1.2403473458920846,1.2720981165907048,1.012739367083667,1.694637091472647
flux1-dev,Diversity & Inclusion,2.0,2.0,1.9148542155126762,1.914854215512676
flux1-dev,"Education, Youth & Women",1.8516401995451028,1.8516401995451028,1.4880476182856899,0.7071067811865476
flux1-dev,Indian Festivals & Rituals,1.4605934866804429,1.3578211078487255,1.3493293353264106,1.7167196733251497
flux1-dev,"Northeast, Economy",,,,
flux1-dev,Occupations & Aspirations,2.1908902300206643,1.6733200530681511,1.6733200530681511,1.788854381999832
flux1-dev,Regional Diversity,1.6962290477574484,1.5597270716416047,1.4265650070355171,1.7704527454797003
flux1-dev,Religion & Spirituality,1.5446568914424659,0.9048278567177283,1.393384536958932,1.6754156331667822
flux1-dev,"Signs, Language & Scripts",1.7888543819998317,1.7888543819998317,1.7888543819998317,1.6733200530681511
flux1-dev,"Tribal, Rural",,,,
flux1_1_pro,"Arts, Music & Pop Culture",1.7874018000453045,1.7874018000453045,1.738287957055741,1.9978343252987703
