dataset_name,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
Complex Indian Context Prompts (CIP),1.7878787878787878,1.6515151515151516,1.7045454545454546,1.6115384615384616
Detailed Indian Prompts (DIP),2.2721617418351476,2.2721617418351476,2.3312597200622083,2.234836702954899
Short Simple Prompts (SSP),2.871060171919771,2.644699140401146,2.830945558739255,1.527220630372493
