category,model_name,score_mean,ci95_low,ci95_high,score_median,score_std,n
"Inclusion, Education",sd_turbo,1.0,1.0,1.0,1.0,,1
Indian Festivals & Rituals,SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,0.0,4
Indian Festivals & Rituals,sd_turbo,1.0,1.0,1.0,1.0,0.0,17
Indian Festivals & Rituals,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,32
Water Crisis,sd_turbo,1.0,1.0,1.0,1.0,,1
"Irony, Global Awareness",flux1_1_pro,1.0,1.0,1.0,1.0,,1
"LGBTQ+, Religion",flux1_1_pro,1.0,1.0,1.0,1.0,,1
"Labor, Gender",sd_turbo,1.0,1.0,1.0,1.0,0.0,5
"Labor, Northeast",sd_turbo,1.0,1.0,1.0,1.0,0.0,5
"Language Gap, Ritual",flux1_1_pro,1.0,1.0,1.0,1.0,,1
"Nature Worship, Survival",sd_api_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Northeast, Economy",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Northeast, Economy",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.0,1.0,1.0,1.0,,1
"Arts, Music & Pop Culture",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,0.8333333333333334,0.5,1.0,1.0,0.28867513459481287,3
"Religion, Discipline",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,0.5,0.5,0.5,0.5,,1
