dataset_name,super_category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
Complex Indian Context Prompts (CIP),Cultural aspects,0.0,0.0,0.0,0.0
Complex Indian Context Prompts (CIP),Regional aspects,0.0,0.0,0.0,0.0
Complex Indian Context Prompts (CIP),Social aspects,1.6733200530681511,1.632993161855452,1.632993161855452,0.816496580927726
Detailed Indian Prompts (DIP),Cultural aspects,1.725919527048178,1.707321508044343,1.7540081029748698,1.7517615338774661
Detailed Indian Prompts (DIP),Regional aspects,1.8791297737842794,1.8791297737842794,1.8074523573858978,1.8545127426924228
Detailed Indian Prompts (DIP),Social aspects,1.771014823905635,1.7580612107600866,1.753623336179924,1.792335775592155
Short Simple Prompts (SSP),Cultural aspects,1.8032893788121702,1.729853189181364,1.7969040258148614,1.2512879114239184
Short Simple Prompts (SSP),Regional aspects,1.8130514366148094,1.729136032046882,1.7702706763985374,0.9198970757216591
Short Simple Prompts (SSP),Social aspects,1.8655955958819967,1.7375968192862068,1.6978095940808409,1.4186397695606234
