dataset_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
dataset2,"Arts, Music & Pop Culture",1.8587825219126939,1.8587825219126939,1.8336626845141692,1.7256238807393047
dataset2,Daily Life & Social Context,1.8706252871680074,1.8427528873827284,1.7792991967791858,1.268395839668469
dataset2,Diversity & Inclusion,1.3245323570650438,1.2533356303995948,1.3547537137174819,1.5860389554330458
dataset2,"Education, Youth & Women",1.7746003350631794,1.5695515485297271,1.5118578920369088,1.5118578920369088
dataset2,Indian Festivals & Rituals,1.7490295816857817,1.6976424976275908,1.8110770276274832,1.1569388327334198
dataset2,Occupations & Aspirations,1.9674775073518591,1.6800537625806173,1.7121482450136218,1.1845783243211963
dataset2,Regional Diversity,1.8130514366148094,1.729136032046882,1.7702706763985374,0.9198970757216591
dataset2,Religion & Spirituality,1.841848273688997,1.7526351468020684,1.7470706228188144,1.2549156833356283
dataset2,"Signs, Language & Scripts",1.9357261100482488,1.7377464849194209,1.7377464849194209,0.4170288281141495
dataset3,"Art, History",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
dataset3,"Art, Region",1.632993161855452,1.632993161855452,1.632993161855452,1.632993161855452
dataset3,"Art, Regional",2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
dataset3,"Art, Tribal",,,,
dataset3,"Arts, Music & Pop Culture",1.6271505915615332,1.499206139134658,1.7126976771553506,1.9123657749350296
dataset3,"Attire, Region",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
dataset3,Caste,0.7559289460184545,0.7559289460184545,0.7559289460184545,0.0
dataset3,Caste Discrimination,2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
dataset3,"Caste, Dance, Religion",1.3333333333333335,1.3333333333333335,1.3333333333333335,2.0
dataset3,"Caste, Festival",,,,
dataset3,"Caste, Tradition",2.3094010767585034,2.3094010767585034,2.0,2.3094010767585034
dataset3,"Culture, Attire",0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726
dataset3,"Culture, Dance",1.7888543819998317,1.7888543819998317,1.7888543819998317,1.7888543819998317
dataset3,"Culture, Gender",0.0,0.0,1.0,1.0
dataset3,"Culture, Marriage",0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951
dataset3,"Culture, Oral Tradition",2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
dataset3,"Culture, Region",0.0,0.0,0.0,0.0
dataset3,"Culture, Religion",1.9215378456610457,1.9215378456610457,1.9215378456610457,1.7541160386140584
dataset3,Daily Life & Social Context,1.5714378082527665,1.5714378082527665,1.6178239076925416,1.6594914300903711
dataset3,Diversity & Inclusion,1.6916441939874303,1.6916441939874303,1.69164419398743,1.7826568970635437
dataset3,"Education, Rural",0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726
dataset3,"Education, Youth & Women",1.893985081034032,1.893985081034032,1.8536173919925967,1.8885620632287061
dataset3,"Festival, Attire",1.7638342073763935,1.7638342073763935,1.7638342073763935,1.7638342073763935
dataset3,"Festival, Food",0.6666666666666666,0.0,0.0,0.0
dataset3,"Folk Dance, Culture",0.0,0.0,0.0,0.0
dataset3,"Folk, Festival",0.0,0.0,0.0,0.816496580927726
dataset3,"Food, Religion",0.0,0.0,0.0,0.0
dataset3,"Food, Tradition",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
dataset3,"Handicraft, Culture",0.0,0.0,0.0,0.0
dataset3,"History, Education",1.1547005383792517,1.1547005383792517,1.1547005383792515,1.1547005383792517
dataset3,"Inclusion, Education",0.0,0.0,0.0,0.0
dataset3,Indian Festivals & Rituals,1.4659250220296964,1.458042017509336,1.5292653407010517,1.5973160112251779
